repo,query_type,api_type,trial,response_time_ms,response_size_bytes
awesome-selfhosted/awesome-selfhosted,medium,graphql,3,370.045,142
awesome-selfhosted/awesome-selfhosted,medium,rest,3,843.056,7560
awesome-selfhosted/awesome-selfhosted,medium,graphql,4,382.072,142
awesome-selfhosted/awesome-selfhosted,medium,rest,4,876.333,7560
awesome-selfhosted/awesome-selfhosted,medium,graphql,5,394.904,142
awesome-selfhosted/awesome-selfhosted,medium,rest,5,924.057,7560
awesome-selfhosted/awesome-selfhosted,complex,graphql,1,573.241,148
awesome-selfhosted/awesome-selfhosted,complex,graphql,2,397.401,148
awesome-selfhosted/awesome-selfhosted,complex,graphql,3,446.04,148
awesome-selfhosted/awesome-selfhosted,complex,graphql,4,411.057,148
awesome-selfhosted/awesome-selfhosted,complex,graphql,5,369.828,148
996icu/996.ICU,simple,graphql,1,526.867,460
996icu/996.ICU,simple,rest,1,415.288,5152
996icu/996.ICU,simple,graphql,2,519.317,460
996icu/996.ICU,simple,rest,2,401.857,5152
996icu/996.ICU,simple,graphql,3,559.255,460
996icu/996.ICU,simple,rest,3,387.481,5152
996icu/996.ICU,simple,graphql,4,529.603,460
996icu/996.ICU,simple,rest,4,387.457,5152
996icu/996.ICU,simple,graphql,5,521.685,460
996icu/996.ICU,simple,rest,5,415.337,5152
996icu/996.ICU,medium,graphql,1,394.757,119
996icu/996.ICU,medium,rest,1,1077.266,64567
996icu/996.ICU,medium,graphql,2,381.031,119
996icu/996.ICU,medium,rest,2,1286.64,64567
996icu/996.ICU,medium,graphql,3,401.914,119
996icu/996.ICU,medium,rest,3,1082.701,64567
996icu/996.ICU,medium,graphql,4,381.788,119
996icu/996.ICU,medium,rest,4,1194.819,64567
996icu/996.ICU,medium,graphql,5,375.636,119
996icu/996.ICU,medium,rest,5,1187.207,64567
996icu/996.ICU,complex,graphql,1,1453.385,5591
996icu/996.ICU,complex,rest,1,8926.296,140725
996icu/996.ICU,complex,graphql,2,1416.595,5591
996icu/996.ICU,complex,rest,2,9464.097,140725
996icu/996.ICU,complex,graphql,3,1163.91,5591
996icu/996.ICU,complex,rest,3,9100.778,140725
996icu/996.ICU,complex,graphql,4,872.231,5591
996icu/996.ICU,complex,rest,4,8682.897,140725
996icu/996.ICU,complex,graphql,5,912.618,5591
996icu/996.ICU,complex,rest,5,8511.556,140725
practical-tutorials/project-based-learning,simple,graphql,1,634.877,468
practical-tutorials/project-based-learning,simple,rest,1,453.065,7719
practical-tutorials/project-based-learning,simple,graphql,2,616.597,468
practical-tutorials/project-based-learning,simple,rest,2,449.42,7719
practical-tutorials/project-based-learning,simple,graphql,3,599.687,468
practical-tutorials/project-based-learning,simple,rest,3,471.511,7719
practical-tutorials/project-based-learning,simple,graphql,4,579.104,468
practical-tutorials/project-based-learning,simple,rest,4,442.768,7719
practical-tutorials/project-based-learning,simple,graphql,5,622.964,468
practical-tutorials/project-based-learning,simple,rest,5,465.652,7719
practical-tutorials/project-based-learning,medium,graphql,1,592.869,4175
practical-tutorials/project-based-learning,medium,rest,1,1091.086,77512
practical-tutorials/project-based-learning,medium,graphql,2,594.229,4175
practical-tutorials/project-based-learning,medium,rest,2,1217.412,77512
practical-tutorials/project-based-learning,medium,graphql,3,816.481,4175
practical-tutorials/project-based-learning,medium,rest,3,1284.553,77512
practical-tutorials/project-based-learning,medium,graphql,4,613.052,4175
practical-tutorials/project-based-learning,medium,rest,4,1094.197,77512
practical-tutorials/project-based-learning,medium,graphql,5,593.707,4175
practical-tutorials/project-based-learning,medium,rest,5,1129.159,77512
practical-tutorials/project-based-learning,complex,graphql,1,1330.31,4232
practical-tutorials/project-based-learning,complex,rest,1,8789.536,170563
practical-tutorials/project-based-learning,complex,graphql,2,862.726,4232
practical-tutorials/project-based-learning,complex,rest,2,8899.781,170563
practical-tutorials/project-based-learning,complex,graphql,3,1519.407,4232
practical-tutorials/project-based-learning,complex,rest,3,9132.727,170563
practical-tutorials/project-based-learning,complex,graphql,4,945.926,4232
practical-tutorials/project-based-learning,complex,rest,4,9627.888,170563
practical-tutorials/project-based-learning,complex,graphql,5,885.308,4232
practical-tutorials/project-based-learning,complex,rest,5,8915.531,170563
react/react,simple,graphql,1,827.973,437
react/react,simple,rest,1,522.762,6036
react/react,simple,graphql,2,755.011,437
react/react,simple,rest,2,521.536,6036
react/react,simple,graphql,3,735.245,437
react/react,simple,rest,3,506.002,6036
react/react,simple,graphql,4,690.366,437
react/react,simple,rest,4,506.04,6036
react/react,simple,graphql,5,731.833,437
react/react,simple,rest,5,1482.825,6036
react/react,medium,graphql,1,755.923,5720
react/react,medium,rest,1,1279.439,117013
react/react,medium,graphql,2,692.559,5720
react/react,medium,rest,2,1379.929,117013
react/react,medium,graphql,3,710.625,5720
react/react,medium,rest,3,1426.95,117013
react/react,medium,graphql,4,893.49,5720
react/react,medium,rest,4,1183.781,117013
react/react,medium,graphql,5,614.094,5720
react/react,medium,rest,5,1393.83,117013
react/react,complex,graphql,1,1377.386,33199
react/react,complex,rest,1,10226.777,199546
react/react,complex,graphql,2,1193.128,33199
react/react,complex,rest,2,9912.534,199546
react/react,complex,graphql,3,1253.569,33199
